store_id,store_name,store_address,telephone_number,fax_number,email,url,customer_delivery_time,store_location,created_at
AR00001,เงินสด-ปลีก ส่งให้,,,,,,,"17.128252, 102.965106",7/30/2024 21:13:09
AR00003,หน้าร้าน รับเอง ราคาโปร,,,ทุกเวลา,,,,"17.128695, 102.964675",7/30/2024 21:13:09
AR00005,โอพาณิช(1),,0885139353/แอพ+ไลน์,สะดวกรับของไม่เกิน 19.00,,https://goo.gl/maps/ZfQBSf4VXGsB8zFB6,,"17.120690, 102.822000",7/30/2024 21:13:09
AR00006,หน้าร้าน-เงินสด [ปลีกหน้าร้าน],,,,,,,"17.128348, 102.964946",7/30/2024 21:13:09
AR00007,หน้าร้าน [ขาย ส่ง],,,,,,,"17.106515, 102.939891",7/30/2024 21:13:09
AR00008,บ้านชา,,,,,,,,7/30/2024 21:13:09
AR00009,ร้านพรเจริญการค้า (พี่ตู่) (1),24 ม.6 ต.แสงสว่าง ต.หนองแสง จ.อุดรธานี,883503120,ไม่เกิน 17.00 น,,https://goo.gl/maps/7Lpiwxs1yNPf2KiMA,,,7/30/2024 21:13:09
AR00011,เจ้ดาว,,909579356,,,,,,7/30/2024 21:13:09
AR00012,นาเมือง (3) (งดโทร/ไม่สั่งชั่วคราว),,0901759019/0885715791,,,https://goo.gl/maps/zhb7zjEeopzEhfPZ7,,"16.973221, 103.208989",7/30/2024 21:13:09
AR00013,ร้าน ใจดี20 นายยงศิลป์ นารี(1)หน้าร้าน,94-95 หมู่1 ต.กุมภวาปี อ.กุมภวาปี จ.อุดรธานี 41110,0986689539/ไลน์,,,https://goo.gl/maps/JuEG3AeMe9qU2VbEA,,"17.110067, 103.014906",7/30/2024 21:13:09
AR00014,ห้างหุ้นส่วนจำกัด ทองปัญญา (สำนักงานใหญ่),555 หมู่ที่4 ตำบลพันดอน อำเภอกุมภวาปี จังหวัดอุดรธานี 41370,061-3962266/089-4193929,,,,,,7/30/2024 21:13:09
AR00019,พี่มัทขายน้ำ,,,,,,,,7/30/2024 21:13:09
AR00020,พรดี,,849113116,,,,,,7/30/2024 21:13:09
AR00021,ดนุพล อุต้น (ร้านทรัพย์สมบูรณ์) (3),338หมู่ 6 บ้านยางหล่อ ตำบลแชแล อำเภอกุมภวาปี จังหวัดอุดรธานี,947577861,ไม่เกิน 19.00น.,,https://goo.gl/maps/SzepLj1Lv8M6f21z7,,"17.147461, 103.039021",7/30/2024 21:13:09
AR00022,วัดจอมศรี,,815462151,,,https://goo.gl/maps/uAAC7AcgcbNmhybM6,,"17.142187, 102.965142",7/30/2024 21:13:09
AR00026,ส.เจริญพาณิชย์ (พี่แดน สายนอกเก่า),เลขที่ 99 ม.8 ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี,0862397793/0955376539/ไลน์,ไม่เกิน 17.00น.,,https://goo.gl/maps/EN47iDC189JtqdTSA,,"16.923681, 103.053077",7/30/2024 21:13:09
